_id,Sample Number,Sample Date,PartialPostalCode,Lead Amount (ppm),SampleDate
96,1565882,2014-03-11,M6M,0.0000619,2014-03-11
97,1559196,2014-03-13,M4C,0.00012,2014-03-13
98,1559192,2014-03-14,M3H,0.000068,2014-03-14
99,1565881,2014-03-14,M4K,0.000258,2014-03-14
100,1560885,2014-03-17,M6J,0.0084,2014-03-17
101,1562001,2014-03-17,M4K,0.00022,2014-03-17
102,1562005,2014-03-18,M5P,0.0024,2014-03-18
103,1565892,2014-03-18,M3J,0.0000938,2014-03-18
104,1559191,2014-03-19,M4L,0.00014,2014-03-19
105,1562002,2014-03-20,M6K,0.0019,2014-03-20
106,1559203,2014-03-20,M1P,0.00032,2014-03-20
107,1561990,2014-03-20,M4L,0.0070,2014-03-20
108,1561989,2014-03-20,M4C,0.0030,2014-03-20
109,1561993,2014-03-21,M4M,0.0029,2014-03-21
110,1561992,2014-03-21,M4C,0.00085,2014-03-21
111,1560886,2014-03-23,M6R,0.0022,2014-03-23
112,1565894,2014-03-23,M4N,0.000249,2014-03-23
113,1560883,2014-03-24,M8V,<0.00005,2014-03-24
114,1561988,2014-03-24,M6H,0.0019,2014-03-24
115,1562000,2014-03-24,M4C,0.0047,2014-03-24
116,1560882,2014-03-25,M8W,0.0036,2014-03-25
117,1561991,2014-03-25,M4L,0.0051,2014-03-25
118,1560771,2014-03-26,M1H,0.000050,2014-03-26
119,1560884,2014-03-26,M9C,0.00026,2014-03-26
120,1561999,2014-03-26,M4G,0.0037,2014-03-26
121,1567257,2014-03-27,M4M,0.00378,2014-03-27
122,1564745,2014-03-27,M6H,0.000117,2014-03-27
123,1563706,2014-03-28,M1L,0.000139,2014-03-28
124,1568757,2014-03-28,M6H,0.000732,2014-03-28
125,1567270,2014-03-31,M6H,0.000472,2014-03-31
126,1567271,2014-03-31,M6N,0.00380,2014-03-31
127,1564734,2014-03-31,M9R,<0.00005,2014-03-31
128,1564736,2014-03-31,M6H,0.000108,2014-03-31
129,1567273,2014-03-31,M6H,0.000962,2014-03-31
130,1567258,2014-04-01,M6E,0.000163,2014-04-01
131,1563708,2014-04-01,M4J,0.00257,2014-04-01
132,1567229,2014-04-01,M6C,0.00122,2014-04-01
133,1563707,2014-04-01,M4L,0.000802,2014-04-01
134,1563720,2014-04-01,M4J,0.0130,2014-04-01
135,1564735,2014-04-01,M9C,0.000446,2014-04-01
136,1564733,2014-04-02,M9R,0.000199,2014-04-02
137,1567259,2014-04-02,M6K,0.00566,2014-04-02
138,1565884,2014-04-03,M5N,0.000334,2014-04-03
139,1568764,2014-04-03,M8V,0.0000950,2014-04-03
140,1568759,2014-04-03,M6P,0.000857,2014-04-03
141,1567227,2014-04-04,M4J,<0.00005,2014-04-04
142,1567228,2014-04-04,M4G,0.00336,2014-04-04
143,1567226,2014-04-05,M4C,0.00328,2014-04-05
144,1565893,2014-04-06,M3H,0.0000990,2014-04-06
145,1565883,2014-04-06,M3H,0.00324,2014-04-06
146,1565879,2014-04-06,M3H,0.00322,2014-04-06
147,1565885,2014-04-07,M2N,0.000204,2014-04-07
148,1567272,2014-04-08,M4L,0.00112,2014-04-08
149,1568758,2014-04-08,M6P,<0.00005,2014-04-08
150,1567248,2014-04-08,M1N,0.000539,2014-04-08
151,1567268,2014-04-08,M5N,0.000773,2014-04-08
152,1568412,2014-04-08,M4S,0.0000843,2014-04-08
153,1567287,2014-04-09,M4M,0.00470,2014-04-09
154,1568415,2014-04-09,M1N,0.00137,2014-04-09
155,1573055,2014-04-09,M6E,0.000310,2014-04-09
156,1567247,2014-04-09,M4K,0.00435,2014-04-09
157,1567269,2014-04-10,M6G,0.000868,2014-04-10
158,1568413,2014-04-10,M4L,0.00625,2014-04-10
159,1568418,2014-04-11,M5M,0.0000804,2014-04-11
160,1568414,2014-04-13,M4J,<0.00005,2014-04-13
161,1573057,2014-04-13,M5M,0.000124,2014-04-13
162,1570004,2014-04-13,M4J,0.00133,2014-04-13
163,1570003,2014-04-14,M4J,0.0000945,2014-04-14
164,1569992,2014-04-14,M4L,0.00517,2014-04-14
165,1570901,2014-04-14,M6J,<0.00005,2014-04-14
166,1570905,2014-04-15,M4R,0.00161,2014-04-15
167,1570903,2014-04-15,M5P,0.000109,2014-04-15
168,1570902,2014-04-16,M4M,0.00350,2014-04-16
169,1573341,2014-04-16,M6C,0.000298,2014-04-16
170,1570002,2014-04-16,M4V,0.000163,2014-04-16
171,1574931,2014-04-16,M4E,0.00612,2014-04-16
172,1573056,2014-04-17,M2M,0.000500,2014-04-17
173,1573356,2014-04-21,M6S,<0.00005,2014-04-21
174,1581107,2014-04-21,M5P,0.00444,2014-04-21
175,1575153,2014-04-22,M4K,0.0211,2014-04-22
176,1575139,2014-04-22,M4T,0.00318,2014-04-22
177,1570904,2014-04-22,M6N,0.00431,2014-04-22
178,1575137,2014-04-22,M1N,0.000559,2014-04-22
179,1573048,2014-04-23,M4G,0.0000868,2014-04-23
180,1581112,2014-04-23,M6P,<0.00005,2014-04-23
181,1575168,2014-04-23,M5R,0.0000860,2014-04-23
182,1576198,2014-04-23,M5R,0.000459,2014-04-23
183,1575138,2014-04-23,M4K,0.0000548,2014-04-23
184,1573369,2014-04-23,M8V,0.000130,2014-04-23
185,1573396,2014-04-23,M6R,<0.00005,2014-04-23
186,1575167,2014-04-23,M6J,0.0218,2014-04-23
187,1573339,2014-04-24,M6P,<0.00005,2014-04-24
188,1575170,2014-04-24,M6B,0.000349,2014-04-24
189,1573344,2014-04-24,M6C,0.000445,2014-04-24
190,1573342,2014-04-24,M6P,0.000371,2014-04-24
191,1575166,2014-04-25,M4K,<0.00005,2014-04-25
192,1575151,2014-04-25,M4K,0.000130,2014-04-25
193,1583822,2014-04-25,M4E,<0.00005,2014-04-25
194,1583826,2014-04-25,M1M,0.000516,2014-04-25
195,1583934,2014-04-25,M2J,0.00478,2014-04-25
196,1583973,2014-04-25,M1M,0.000313,2014-04-25
197,1575003,2014-04-25,M4J,0.00117,2014-04-25
198,1574999,2014-04-27,M4J,0.000200,2014-04-27
199,1575169,2014-04-27,M4W,0.000802,2014-04-27
200,1573047,2014-04-27,M6B,<0.00005,2014-04-27
201,1575172,2014-04-28,M6K,0.00713,2014-04-28
202,1588957,2014-04-28,M6R,0.00266,2014-04-28
203,1580513,2014-04-28,M4R,0.0000518,2014-04-28
204,1573370,2014-04-29,M6H,0.000529,2014-04-29
205,1575143,2014-04-29,M4E,0.223,2014-04-29
206,1575142,2014-04-29,M4J,0.0000963,2014-04-29
207,1575140,2014-04-29,M4K,0.00322,2014-04-29
208,1575141,2014-04-30,M1L,0.000139,2014-04-30
209,1575197,2014-04-30,M5M,0.00181,2014-04-30
210,1575144,2014-04-30,M6J,0.0132,2014-04-30
211,1579034,2014-05-01,M4J,0.000185,2014-05-01
212,1579033,2014-05-01,M4J,0.0000749,2014-05-01
213,1581170,2014-05-02,M8W,0.0000664,2014-05-02
214,1581212,2014-05-02,M9C,0.000103,2014-05-02
215,1579035,2014-05-02,M4M,<0.00005,2014-05-02
216,1579030,2014-05-05,M4B,0.00317,2014-05-05
217,1597243,2014-05-05,M4R,0.00304,2014-05-05
218,1581054,2014-05-06,M5S,0.0000661,2014-05-06
219,1578468,2014-05-06,M4M,0.00212,2014-05-06
220,1581183,2014-05-07,M6S,0.000121,2014-05-07
221,1581108,2014-05-07,M8Z,0.0000847,2014-05-07
222,1581049,2014-05-07,M4J,0.000639,2014-05-07
223,1581155,2014-05-08,M4M,0.00443,2014-05-08
224,1581148,2014-05-08,M5S,0.00311,2014-05-08
225,1580517,2014-05-09,M2J,0.000256,2014-05-09
226,1582495,2014-05-09,M4L,0.00676,2014-05-09
227,1581188,2014-05-09,M6P,0.000701,2014-05-09
228,1580518,2014-05-09,M2N,<0.00005,2014-05-09
229,1581134,2014-05-09,M6P,0.000115,2014-05-09
230,1581078,2014-05-10,M4K,0.00823,2014-05-10
231,1581154,2014-05-12,M6C,0.000727,2014-05-12
232,1581047,2014-05-12,M4E,0.000131,2014-05-12
233,1581050,2014-05-12,M4E,0.0000931,2014-05-12
234,1580538,2014-05-12,M6E,0.00215,2014-05-12
235,1583573,2014-05-13,M4E,0.000135,2014-05-13
236,1584762,2014-05-13,M4R,0.000473,2014-05-13
237,1598336,2014-05-13,M4J,0.00104,2014-05-13
238,1582347,2014-05-14,M4L,0.00143,2014-05-14
239,1580516,2014-05-14,M4G,0.0000719,2014-05-14
240,1583612,2014-05-14,M6N,0.00461,2014-05-14
241,1583609,2014-05-15,M9A,0.000658,2014-05-15
242,1583870,2014-05-16,M4E,0.000158,2014-05-16
243,1583369,2014-05-16,M5M,0.000308,2014-05-16
244,1583375,2014-05-16,M6P,0.00102,2014-05-16
245,1583924,2014-05-16,M4C,0.00597,2014-05-16
246,1583579,2014-05-16,M6S,0.0202,2014-05-16
247,1583561,2014-05-16,M4R,0.00104,2014-05-16
248,1583576,2014-05-16,M4R,0.00613,2014-05-16
249,1583373,2014-05-17,M5R,0.000816,2014-05-17
250,1583545,2014-05-18,M4T,0.00651,2014-05-18
251,1583581,2014-05-19,M5M,0.00160,2014-05-19
252,1583566,2014-05-20,M6P,0.00490,2014-05-20
253,1583859,2014-05-20,M4C,0.00100,2014-05-20
254,1587107,2014-05-20,M6G,0.000396,2014-05-20
255,1583467,2014-05-20,M6G,0.0000789,2014-05-20
256,1587735,2014-05-20,M5M,0.00349,2014-05-20
257,1583575,2014-05-20,M2N,0.000105,2014-05-20
258,1583815,2014-05-20,M4C,0.00667,2014-05-20
259,1583577,2014-05-20,M6P,0.000650,2014-05-20
260,1583469,2014-05-20,M4T,0.000436,2014-05-20
261,1584733,2014-05-20,M4J,0.00429,2014-05-20
262,1583932,2014-05-20,M1L,0.00331,2014-05-20
263,1583770,2014-05-20,M4J,0.00149,2014-05-20
264,1584726,2014-05-20,M4L,0.00473,2014-05-20
265,1583580,2014-05-20,M6S,0.00436,2014-05-20
266,1583800,2014-05-20,M4J,0.00234,2014-05-20
267,1583939,2014-05-20,M4J,0.00180,2014-05-20
268,1584745,2014-05-20,M4C,0.000137,2014-05-20
269,1586775,2014-05-20,M6E,0.00537,2014-05-20
270,1583862,2014-05-20,M4C,0.0110,2014-05-20
271,1583796,2014-05-20,M4J,0.00153,2014-05-20
272,1583835,2014-05-20,M4L,0.00597,2014-05-20
273,1583918,2014-05-20,M4J,<0.00005,2014-05-20
274,1584972,2014-05-20,M6E,0.00551,2014-05-20
275,1584808,2014-05-20,M6H,0.0000625,2014-05-20
276,1583615,2014-05-20,M6P,<0.00005,2014-05-20
277,1583565,2014-05-20,M8V,<0.00005,2014-05-20
278,1583925,2014-05-20,M4C,0.000151,2014-05-20
279,1583930,2014-05-20,M4C,0.00422,2014-05-20
280,1583611,2014-05-20,M8V,0.0000934,2014-05-20
281,1583917,2014-05-20,M4L,0.00308,2014-05-20
282,1584912,2014-05-20,M6J,0.00213,2014-05-20
283,1585445,2014-05-20,M6M,0.000234,2014-05-20
284,1583318,2014-05-20,M4R,0.00258,2014-05-20
285,1584756,2014-05-20,M4T,0.0000689,2014-05-20
286,1583368,2014-05-20,M9P,0.000225,2014-05-20
287,1583362,2014-05-20,M5T,0.000199,2014-05-20
288,1583610,2014-05-20,M6E,0.00526,2014-05-20
289,1583517,2014-05-20,M5M,0.0000559,2014-05-20
290,1588673,2014-05-20,M1R,0.000158,2014-05-20
291,1583308,2014-05-20,M4T,0.000118,2014-05-20
292,1583538,2014-05-20,M5P,0.000258,2014-05-20
293,1583527,2014-05-20,M4R,0.000159,2014-05-20
294,1583563,2014-05-20,M9P,0.000129,2014-05-20
295,1583280,2014-05-20,M9P,0.000133,2014-05-20
296,1584704,2014-05-20,M4N,0.000105,2014-05-20
297,1583829,2014-05-20,M4C,0.0119,2014-05-20
298,1583376,2014-05-20,M4M,0.00225,2014-05-20
299,1584785,2014-05-20,M4M,0.00382,2014-05-20
300,1583269,2014-05-20,M4J,0.000182,2014-05-20
301,1583518,2014-05-20,M5M,0.00411,2014-05-20
302,1583582,2014-05-20,M5M,0.0130,2014-05-20
303,1583578,2014-05-20,M4C,<0.00005,2014-05-20
304,1583468,2014-05-20,M6S,0.0000532,2014-05-20
305,1585374,2014-05-20,M4K,0.0000833,2014-05-20
306,1585579,2014-05-21,M9B,0.0000976,2014-05-21
307,1584966,2014-05-21,M6R,0.00118,2014-05-21
308,1583331,2014-05-21,M4R,0.00139,2014-05-21
309,1583562,2014-05-21,M4N,0.000439,2014-05-21
310,1584705,2014-05-21,M4C,0.000375,2014-05-21
311,1584668,2014-05-21,M5M,<0.00005,2014-05-21
312,1583583,2014-05-21,M6R,0.000208,2014-05-21
313,1585354,2014-05-21,M6R,0.000111,2014-05-21
314,1583782,2014-05-21,M4L,0.000791,2014-05-21
315,1583372,2014-05-21,M4C,0.000400,2014-05-21
316,1584651,2014-05-21,M4V,0.00367,2014-05-21
317,1583374,2014-05-21,M4L,0.000156,2014-05-21
318,1583366,2014-05-21,M5N,0.0000521,2014-05-21
319,1583919,2014-05-21,M4L,0.00610,2014-05-21
320,1584938,2014-05-21,M6A,0.0000849,2014-05-21
321,1583916,2014-05-21,M5A,0.000376,2014-05-21
322,1583371,2014-05-21,M4L,0.000405,2014-05-21
323,1587985,2014-05-21,M1L,0.0000763,2014-05-21
324,1583922,2014-05-21,M4C,0.000136,2014-05-21
325,1586708,2014-05-21,M6S,<0.00005,2014-05-21
326,1583551,2014-05-21,M4S,0.0000983,2014-05-21
327,1583874,2014-05-21,M4J,0.0000847,2014-05-21
328,1583817,2014-05-21,M4K,<0.00005,2014-05-21
329,1583878,2014-05-21,M4J,0.000167,2014-05-21
330,1583972,2014-05-21,M4C,<0.00005,2014-05-21
331,1583586,2014-05-21,M2N,0.00214,2014-05-21
332,1584744,2014-05-21,M6J,0.00148,2014-05-21
333,1584662,2014-05-21,M5P,<0.00005,2014-05-21
334,1584753,2014-05-21,M4S,0.00443,2014-05-21
335,1583758,2014-05-21,M4J,0.00157,2014-05-21
336,1584710,2014-05-21,M6G,0.000140,2014-05-21
337,1583820,2014-05-21,M4C,0.00931,2014-05-21
338,1584708,2014-05-21,M4S,0.000649,2014-05-21
339,1587362,2014-05-21,M6P,<0.00005,2014-05-21
340,1585355,2014-05-21,M9A,<0.00005,2014-05-21
341,1583974,2014-05-21,M4C,0.0137,2014-05-21
342,1583564,2014-05-21,M5M,0.00820,2014-05-21
343,1584876,2014-05-21,M6P,0.00377,2014-05-21
344,1583824,2014-05-21,M4J,0.000112,2014-05-21
345,1587013,2014-05-21,M6H,0.000242,2014-05-21
346,1585667,2014-05-21,M4G,0.0000905,2014-05-21
347,1586275,2014-05-21,M4M,0.00403,2014-05-21
348,1583848,2014-05-21,M4J,0.000204,2014-05-21
349,1583831,2014-05-21,M4B,0.0000519,2014-05-21
350,1583880,2014-05-21,M4M,0.00669,2014-05-21
351,1583793,2014-05-21,M4J,0.000114,2014-05-21
352,1583876,2014-05-21,M4J,0.000134,2014-05-21
353,1586274,2014-05-21,M6R,0.0000640,2014-05-21
354,1583567,2014-05-21,M5R,0.00145,2014-05-21
355,1584711,2014-05-21,M8W,0.00138,2014-05-21
356,1588750,2014-05-21,M4B,0.0000953,2014-05-21
357,1583624,2014-05-21,M4R,0.000923,2014-05-21
358,1583832,2014-05-21,M4K,0.000256,2014-05-21
359,1584584,2014-05-21,M1N,0.0000574,2014-05-21
360,1584765,2014-05-21,M6E,0.000193,2014-05-21
361,1583626,2014-05-21,M5M,0.00192,2014-05-21
362,1584924,2014-05-21,M5R,0.000151,2014-05-21
363,1583941,2014-05-21,M4C,<0.00005,2014-05-21
364,1583926,2014-05-21,M4J,0.000157,2014-05-21
365,1583938,2014-05-21,M4J,0.00187,2014-05-21
366,1584968,2014-05-21,M5S,0.000236,2014-05-21
367,1586534,2014-05-21,M9A,0.000317,2014-05-21
368,1583798,2014-05-21,M4J,0.000131,2014-05-21
369,1584757,2014-05-21,M6K,0.00510,2014-05-21
370,1583891,2014-05-21,M1M,0.0000800,2014-05-21
371,1583936,2014-05-21,M4C,0.00133,2014-05-21
372,1583868,2014-05-21,M4J,0.00276,2014-05-21
373,1583883,2014-05-21,M1M,0.0000570,2014-05-21
374,1583679,2014-05-21,M4C,0.000434,2014-05-21
375,1583914,2014-05-21,M1M,0.0000606,2014-05-21
376,1584960,2014-05-21,M6J,<0.00005,2014-05-21
377,1583915,2014-05-21,M4C,0.00218,2014-05-21
378,1583931,2014-05-21,M4C,0.000227,2014-05-21
379,1585600,2014-05-21,M9C,<0.00005,2014-05-21
380,1585609,2014-05-21,M4N,0.00495,2014-05-21
381,1583889,2014-05-21,M1M,0.000176,2014-05-21
382,1583784,2014-05-21,M4C,0.000277,2014-05-21
383,1583813,2014-05-21,M4C,0.000186,2014-05-21
384,1585613,2014-05-21,M9R,0.0000885,2014-05-21
385,1584707,2014-05-21,M1M,<0.00005,2014-05-21
386,1584784,2014-05-21,M6S,0.000454,2014-05-21
387,1583858,2014-05-21,M4J,0.00289,2014-05-21
388,1583613,2014-05-21,M2N,0.000184,2014-05-21
389,1584740,2014-05-21,M4K,0.00440,2014-05-21
390,1583627,2014-05-21,M2N,0.000108,2014-05-21
391,1586753,2014-05-21,M9A,<0.00005,2014-05-21
392,1583628,2014-05-21,M3H,<0.00005,2014-05-21
393,1586468,2014-05-21,M1L,0.0000981,2014-05-21
394,1583625,2014-05-21,M3H,0.000293,2014-05-21
395,1585756,2014-05-21,M1M,0.0000687,2014-05-21
396,1583336,2014-05-21,M5P,0.00106,2014-05-21
397,1583864,2014-05-21,M4E,0.000898,2014-05-21
398,1585810,2014-05-21,M6P,0.00121,2014-05-21
399,1583921,2014-05-21,M4J,0.0145,2014-05-21
400,1583856,2014-05-21,M4J,0.00378,2014-05-21
401,1588622,2014-05-21,M6K,0.000307,2014-05-21
402,1583871,2014-05-21,M4C,<0.00005,2014-05-21
403,1585702,2014-05-21,M4J,0.00253,2014-05-21
404,1587058,2014-05-21,M6N,0.0000714,2014-05-21
405,1583377,2014-05-21,M6H,0.0000965,2014-05-21
406,1584766,2014-05-21,M6K,0.00747,2014-05-21
407,1583584,2014-05-21,M2P,0.000255,2014-05-21
408,1585483,2014-05-21,M4C,0.000101,2014-05-21
409,1584908,2014-05-21,M6P,0.000101,2014-05-21
410,1586774,2014-05-21,M4M,0.00355,2014-05-21
411,1584964,2014-05-21,M6H,0.000156,2014-05-21
412,1584582,2014-05-21,M4S,0.000991,2014-05-21
413,1586553,2014-05-21,M9B,0.000175,2014-05-21
414,1586474,2014-05-21,M1R,0.0000750,2014-05-21
415,1584956,2014-05-21,M4C,0.00150,2014-05-21
416,1585008,2014-05-21,M6S,0.0167,2014-05-21
417,1603909,2014-05-21,M1S,0.000133,2014-05-21
418,1584657,2014-05-21,M8V,<0.00005,2014-05-21
419,1584965,2014-05-21,M6G,0.0000818,2014-05-21
420,1585001,2014-05-21,M4G,<0.00005,2014-05-21
421,1584712,2014-05-21,M6P,0.00105,2014-05-21
422,1584783,2014-05-21,M6C,0.00399,2014-05-21
423,1584970,2014-05-21,M5M,<0.00005,2014-05-21
424,1584801,2014-05-21,M4N,0.00587,2014-05-21
425,1589677,2014-05-21,M4C,0.000153,2014-05-21
426,1584583,2014-05-21,M4N,0.00263,2014-05-21
427,1585447,2014-05-21,M8Y,0.000657,2014-05-21
428,1583866,2014-05-21,M4C,0.000253,2014-05-21
429,1584909,2014-05-21,M4R,0.000161,2014-05-21
430,1585460,2014-05-21,M4E,0.000194,2014-05-21
431,1584706,2014-05-21,M4L,0.00348,2014-05-21
432,1584747,2014-05-21,M6E,0.0110,2014-05-21
433,1583630,2014-05-21,M3A,0.000213,2014-05-21
434,1585006,2014-05-21,M6P,0.00446,2014-05-21
435,1587284,2014-05-21,M4R,0.00189,2014-05-21
436,1585557,2014-05-21,M4J,0.00181,2014-05-21
437,1583928,2014-05-21,M4J,0.00348,2014-05-21
438,1585817,2014-05-21,M6K,0.000683,2014-05-21
439,1584602,2014-05-21,M4C,0.000596,2014-05-21
440,1585814,2014-05-21,M6P,0.0000849,2014-05-21
441,1584799,2014-05-21,M6G,0.000218,2014-05-21
442,1586765,2014-05-21,M5P,0.000118,2014-05-21
443,1584890,2014-05-21,M2H,0.0000839,2014-05-21
444,1584661,2014-05-21,M5M,0.0000558,2014-05-21
445,1584782,2014-05-21,M4W,0.000834,2014-05-21
446,1584719,2014-05-21,M6K,0.000593,2014-05-21
447,1584772,2014-05-21,M5S,0.000133,2014-05-21
448,1585003,2014-05-21,M9A,<0.00005,2014-05-21
449,1585002,2014-05-21,M8Y,<0.00005,2014-05-21
450,1584923,2014-05-21,M6P,0.000362,2014-05-21
451,1587068,2014-05-21,M6N,0.000241,2014-05-21
452,1584748,2014-05-21,M5N,0.0000705,2014-05-21
453,1584794,2014-05-21,M4W,0.00337,2014-05-21
454,1589008,2014-05-21,M6E,0.00374,2014-05-21
455,1584969,2014-05-21,M4C,0.00248,2014-05-21
456,1584797,2014-05-22,M5S,0.000658,2014-05-22
457,1584621,2014-05-22,M5T,0.00558,2014-05-22
458,1583923,2014-05-22,M4C,0.000170,2014-05-22
459,1583633,2014-05-22,M4L,0.00923,2014-05-22
460,1587873,2014-05-22,M6P,<0.00005,2014-05-22
461,1584741,2014-05-22,M5M,0.0000536,2014-05-22
462,1584660,2014-05-22,M5S,<0.00005,2014-05-22
463,1585568,2014-05-22,M6K,0.000165,2014-05-22
464,1587368,2014-05-22,M5S,<0.00005,2014-05-22
465,1588674,2014-05-22,M4M,0.00746,2014-05-22
466,1584771,2014-05-22,M6G,0.00702,2014-05-22
467,1587308,2014-05-22,M4B,0.00209,2014-05-22
468,1584918,2014-05-22,M6K,0.00102,2014-05-22
469,1587996,2014-05-22,M4K,0.00277,2014-05-22
470,1585455,2014-05-22,M4L,0.0000616,2014-05-22
471,1585588,2014-05-22,M8Y,<0.00005,2014-05-22
472,1584939,2014-05-22,M5M,0.00314,2014-05-22
473,1584807,2014-05-22,M6J,0.000147,2014-05-22
474,1584669,2014-05-22,M4P,0.00445,2014-05-22
475,1584764,2014-05-22,M5M,0.000181,2014-05-22
476,1584971,2014-05-22,M6G,0.000812,2014-05-22
